ID,Reached.on.Time_Y.N
7000,1
7001,1
7002,1
7003,1
7004,0
7005,1
7006,1
7007,1
7008,1
7009,0
7010,0
7011,0
7012,1
7013,0
7014,1
7015,1
7016,0
7017,0
7018,1
7019,1
7020,0
7021,1
7022,1
7023,0
7024,0
7025,0
7026,0
7027,1
7028,1
7029,0
7030,1
7031,0
7032,0
7033,1
7034,0
7035,0
7036,0
7037,1
7038,1
7039,1
7040,1
7041,1
7042,1
7043,1
7044,0
7045,1
7046,0
7047,0
7048,1
7049,0
7050,1
7051,0
7052,1
7053,0
7054,0
7055,1
7056,0
7057,1
7058,1
7059,1
7060,0
7061,1
7062,1
7063,1
7064,1
7065,0
7066,1
7067,1
7068,1
7069,1
7070,1
7071,1
7072,0
7073,1
7074,0
7075,1
7076,1
7077,1
7078,0
7079,1
7080,1
7081,1
7082,1
7083,1
7084,1
7085,1
7086,0
7087,1
7088,0
7089,0
7090,1
7091,1
7092,1
7093,0
7094,0
7095,0
7096,0
7097,0
7098,1
7099,1
7100,1
7101,0
7102,0
7103,1
7104,0
7105,1
7106,0
7107,1
7108,1
7109,1
7110,1
7111,1
7112,0
7113,1
7114,1
7115,1
7116,1
7117,1
7118,0
7119,1
7120,0
7121,0
7122,0
7123,0
7124,0
7125,1
7126,1
7127,0
7128,1
7129,1
7130,1
7131,1
7132,1
7133,0
7134,1
7135,1
7136,0
7137,0
7138,0
7139,1
7140,0
7141,1
7142,0
7143,1
7144,0
7145,1
7146,1
7147,0
7148,0
7149,0
7150,0
7151,1
7152,0
7153,1
7154,0
7155,1
7156,1
7157,1
7158,1
7159,0
7160,1
7161,1
7162,1
7163,1
7164,1
7165,0
7166,1
7167,1
7168,1
7169,0
7170,1
7171,1
7172,1
7173,0
7174,0
7175,0
7176,1
7177,1
7178,0
7179,1
7180,0
7181,0
7182,1
7183,1
7184,1
7185,0
7186,0
7187,0
7188,0
7189,1
7190,0
7191,1
7192,1
7193,0
7194,0
7195,1
7196,1
7197,1
7198,0
7199,1
7200,0
7201,1
7202,1
7203,0
7204,0
7205,1
7206,1
7207,1
7208,0
7209,0
7210,0
7211,0
7212,1
7213,1
7214,0
7215,1
7216,0
7217,1
7218,1
7219,1
7220,1
7221,0
7222,1
7223,0
7224,1
7225,1
7226,1
7227,0
7228,1
7229,0
7230,1
7231,0
7232,1
7233,1
7234,1
7235,1
7236,1
7237,0
7238,1
7239,1
7240,1
7241,1
7242,1
7243,0
7244,0
7245,0
7246,0
7247,0
7248,1
7249,1
7250,0
7251,1
7252,1
7253,0
7254,1
7255,1
7256,1
7257,0
7258,1
7259,1
7260,1
7261,0
7262,0
7263,1
7264,1
7265,0
7266,1
7267,0
7268,0
7269,1
7270,1
7271,1
7272,0
7273,1
7274,1
7275,0
7276,0
7277,0
7278,1
7279,0
7280,1
7281,1
7282,1
7283,1
7284,1
7285,1
7286,1
7287,1
7288,1
7289,1
7290,0
7291,1
7292,0
7293,0
7294,1
7295,1
7296,0
7297,1
7298,1
7299,1
7300,1
7301,1
7302,1
7303,0
7304,0
7305,0
7306,0
7307,0
7308,1
7309,1
7310,0
7311,0
7312,1
7313,1
7314,0
7315,1
7316,0
7317,1
7318,1
7319,1
7320,1
7321,0
7322,1
7323,0
7324,1
7325,1
7326,1
7327,1
7328,1
7329,1
7330,1
7331,1
7332,0
7333,1
7334,0
7335,1
7336,1
7337,1
7338,0
7339,0
7340,1
7341,1
7342,1
7343,1
7344,0
7345,1
7346,0
7347,1
7348,0
7349,1
7350,0
7351,0
7352,1
7353,1
7354,1
7355,0
7356,1
7357,1
7358,0
7359,1
7360,0
7361,1
7362,0
7363,0
7364,1
7365,0
7366,1
7367,1
7368,1
7369,0
7370,0
7371,1
7372,0
7373,1
7374,1
7375,1
7376,0
7377,0
7378,1
7379,1
