ID,Reached.on.Time_Y.N
7000,0
7001,1
7002,0
7003,1
7004,0
7005,1
7006,0
7007,0
7008,1
7009,1
7010,1
7011,0
7012,1
7013,1
7014,0
7015,1
7016,0
7017,0
7018,1
7019,0
7020,0
7021,1
7022,1
7023,1
7024,1
7025,1
7026,1
7027,1
7028,1
7029,0
7030,1
7031,1
7032,0
7033,1
7034,1
7035,1
7036,0
7037,1
7038,1
7039,1
7040,1
7041,0
7042,1
7043,1
7044,0
7045,1
7046,0
7047,1
7048,1
7049,1
7050,1
7051,0
7052,1
7053,1
7054,0
7055,0
7056,1
7057,1
7058,1
7059,1
7060,1
7061,1
7062,1
7063,1
7064,1
7065,0
7066,1
7067,1
7068,1
7069,1
7070,1
7071,1
7072,0
7073,1
7074,1
7075,0
7076,1
7077,1
7078,0
7079,0
7080,1
7081,1
7082,1
7083,0
7084,1
7085,0
7086,1
7087,1
7088,1
7089,1
7090,1
7091,0
7092,1
7093,1
7094,1
7095,0
7096,1
7097,0
7098,1
7099,1
7100,1
7101,0
7102,1
7103,1
7104,0
7105,1
7106,1
7107,1
7108,1
7109,0
7110,0
7111,0
7112,0
7113,1
7114,1
7115,1
7116,0
7117,1
7118,0
7119,1
7120,1
7121,0
7122,1
7123,1
7124,1
7125,1
7126,0
7127,1
7128,1
7129,1
7130,1
7131,1
7132,1
7133,1
7134,1
7135,1
7136,0
7137,0
7138,0
7139,0
7140,0
7141,1
7142,1
7143,1
7144,1
7145,1
7146,1
7147,1
7148,0
7149,1
7150,1
7151,1
7152,0
7153,1
7154,0
7155,1
7156,0
7157,1
7158,0
7159,0
7160,0
7161,0
7162,1
7163,1
7164,1
7165,1
7166,1
7167,1
7168,1
7169,1
7170,1
7171,1
7172,0
7173,0
7174,0
7175,0
7176,1
7177,1
7178,1
7179,1
7180,1
7181,0
7182,1
7183,0
7184,1
7185,1
7186,1
7187,0
7188,0
7189,1
7190,0
7191,1
7192,1
7193,1
7194,1
7195,1
7196,1
7197,0
7198,1
7199,1
7200,1
7201,0
7202,0
7203,0
7204,1
7205,0
7206,1
7207,1
7208,0
